Lexeme           | Token Name
wala            | R_WALA               | 1 
ugat            | R_UGAT               | 1 
(               | D_LPAREN             | 1 
)               | D_RPAREN             | 1 
{               | D_LBRACE             | 1 
bilang          | R_BILANG             | 3 
z               | L_IDENTIFIER         | 3 
=               | O_ASSIGN             | 3 
13              | L_BILANG_LITERAL     | 3 
;               | D_SEMICOLON          | 3 
lutang          | R_LUTANG             | 5 
y               | L_IDENTIFIER         | 5 
=               | O_ASSIGN             | 5 
;               | D_SEMICOLON          | 5 
//comment ito   | C_SINGLE_LINE        | 6 
/*multi line 
comment
*/ | C_MULTI_LINE         | 8 
kwerdas         | R_KWERDAS            | 11 
test            | L_IDENTIFIER         | 11 
!               | O_NOT                | 11 
[               | D_LBRACKET           | 11 
30              | L_BILANG_LITERAL     | 11 
]               | D_RBRACKET           | 11 
=               | O_ASSIGN             | 11 
"ITO AY STRING" | L_KWERDAS_LITERAL    | 11 
;               | D_SEMICOLON          | 11 
titik           | R_TITIK              | 13 
titikIto        | L_IDENTIFIER         | 13 
=               | O_ASSIGN             | 13 
‘a’         | UNKNOWN_CATEGORY     | 13 
;               | D_SEMICOLON          | 13 
tanim           | K_TANIM              | 15 
(               | D_LPAREN             | 15 
“             | UNKNOWN_CATEGORY     | 15 
%               | O_MODULO             | 15 
lf              | L_IDENTIFIER         | 15 
,               | D_COMMA              | 15 
%               | O_MODULO             | 15 
d               | L_IDENTIFIER         | 15 
”             | UNKNOWN_CATEGORY     | 15 
,               | D_COMMA              | 15 
y               | L_IDENTIFIER         | 15 
,               | D_COMMA              | 15 
z               | L_IDENTIFIER         | 15 
)               | D_RPAREN             | 15 
;               | D_SEMICOLON          | 15 
habang          | K_HABANG             | 17 
(               | D_LPAREN             | 17 
bilang          | R_BILANG             | 17 
z               | L_IDENTIFIER         | 17 
=               | O_ASSIGN             | 17 
0               | L_BILANG_LITERAL     | 17 
)               | D_RPAREN             | 17 
{               | D_LBRACE             | 17 
ani             | K_ANI                | 18 
(               | D_LPAREN             | 18 
“OUTPUT”    | UNKNOWN_CATEGORY     | 18 
)               | D_RPAREN             | 18 
;               | D_SEMICOLON          | 18 
}               | D_RBRACE             | 19 
para            | K_PARA               | 21 
(               | D_LPAREN             | 21 
bilang          | R_BILANG             | 21 
i               | L_IDENTIFIER         | 21 
=               | O_ASSIGN             | 21 
0               | L_BILANG_LITERAL     | 21 
;               | D_SEMICOLON          | 21 
i               | L_IDENTIFIER         | 21 
<               | O_LESS               | 21 
10              | L_BILANG_LITERAL     | 21 
;               | D_SEMICOLON          | 21 
i               | L_IDENTIFIER         | 21 
+               | O_PLUS               | 21 
+               | O_PLUS               | 21 
)               | D_RPAREN             | 21 
{               | D_LBRACE             | 21 
ani             | K_ANI                | 22 
(               | D_LPAREN             | 22 
“i            | UNKNOWN_CATEGORY     | 22 
=               | O_ASSIGN             | 22 
%               | O_MODULO             | 22 
d               | L_IDENTIFIER         | 22 
”             | UNKNOWN_CATEGORY     | 22 
,               | D_COMMA              | 22 
i               | L_IDENTIFIER         | 22 
)               | D_RPAREN             | 22 
;               | D_SEMICOLON          | 22 
}               | D_RBRACE             | 24 
doble           | R_DOBLE              | 25 
itoayDoble      | L_IDENTIFIER         | 25 
=               | O_ASSIGN             | 25 
12.2321         | L_LUTANG_LITERAL     | 25 
;               | D_SEMICOLON          | 25 
itakda          | N_ITAKDA             | 26 
ito             | L_IDENTIFIER         | 26 
=               | O_ASSIGN             | 26 
"HELLO"         | L_KWERDAS_LITERAL    | 26 
;               | D_SEMICOLON          | 26 
para            | K_PARA               | 27 
i               | L_IDENTIFIER         | 27 
mula            | N_MULA               | 27 
0               | L_BILANG_LITERAL     | 27 
sa              | N_SA                 | 27 
5               | L_BILANG_LITERAL     | 27 
{               | D_LBRACE             | 27 
bunga           | N_BUNGA              | 28 
ay              | N_AY                 | 28 
(               | D_LPAREN             | 28 
“BUNGA        | UNKNOWN_CATEGORY     | 28 
BUNGA           | L_IDENTIFIER         | 28 
”             | UNKNOWN_CATEGORY     | 28 
)               | D_RPAREN             | 28 
;               | D_SEMICOLON          | 28 
}               | D_RBRACE             | 29 
sampleConstString | R_C_SAMPLE_CONST_STRING | 30 
;               | D_SEMICOLON          | 30 
kung            | K_KUNG               | 32 
(               | D_LPAREN             | 32 
!               | O_NOT                | 32 
x               | L_IDENTIFIER         | 32 
)               | D_RPAREN             | 32 
{               | D_LBRACE             | 32 
ani             | K_ANI                | 33 
(               | D_LPAREN             | 33 
"!x is true\n"  | L_KWERDAS_LITERAL    | 33 
)               | D_RPAREN             | 33 
;               | D_SEMICOLON          | 33 
}               | D_RBRACE             | 34 
kundi           | K_KUNDI              | 35 
{               | D_LBRACE             | 35 
ani             | K_ANI                | 36 
(               | D_LPAREN             | 36 
"!x is false\n" | L_KWERDAS_LITERAL    | 36 
)               | D_RPAREN             | 36 
;               | D_SEMICOLON          | 36 
}               | D_RBRACE             | 37 
kung            | K_KUNG               | 39 
(               | D_LPAREN             | 39 
(               | D_LPAREN             | 39 
5               | L_BILANG_LITERAL     | 39 
>=              | O_GREATER_EQ         | 39 
3               | L_BILANG_LITERAL     | 39 
)               | D_RPAREN             | 39 
&&              | O_AND                | 39 
(               | D_LPAREN             | 39 
2               | L_BILANG_LITERAL     | 39 
<               | O_LESS               | 39 
4               | L_BILANG_LITERAL     | 39 
)               | D_RPAREN             | 39 
)               | D_RPAREN             | 39 
{               | D_LBRACE             | 39 
ani             | K_ANI                | 40 
(               | D_LPAREN             | 40 
"(5 >= 3) && (2 < 4) is true\n" | L_KWERDAS_LITERAL    | 40 
)               | D_RPAREN             | 40 
;               | D_SEMICOLON          | 40 
kundi           | K_KUNDI              | 41 
ani             | K_ANI                | 42 
(               | D_LPAREN             | 42 
"(5 >= 3) && (2 < 4) is false\n" | L_KWERDAS_LITERAL    | 42 
)               | D_RPAREN             | 42 
;               | D_SEMICOLON          | 42 
}               | D_RBRACE             | 43 
kung            | K_KUNG               | 45 
